Designator,Mid X,Mid Y,Layer,Rotation,
C0,86,20,Top,180,
C1,99,20,Top,180,
C2,115,20,Top,180,
C3,128,20,Top,0,
C4,141,20,Top,180,
C5,69,76,Top,270,
C6,63,76,Top,270,
C9,53,76,Top,270,
C10,57,64,Top,90,
C11,67,64,Top,90,
C12,25,12,Top,180,
D0,79,24,Top,0,
D1,72,24,Top,0,
D2,65,24,Top,0,
D3,58,24,Top,0,
D4,51,24,Top,0,
D5,44,24,Top,0,
D6,37,24,Top,0,
D7,30,24,Top,0,
FB1,71,76,Top,90,
FB2,61,76,Top,90,
FB3,20,16,Top,180,
FB4,55,76,Top,90,
FB5,59,64,Top,90,
FB6,65,64,Top,90,
Q0,159,29,Top,90,
Q1,149,29,Top,90,
Q2,139,29,Top,90,
Q3,129,29,Top,90,
Q4,119,29,Top,90,
Q5,109,29,Top,90,
Q6,99,29,Top,90,
Q7,89,29,Top,90,
Q8,79,21,Top,270,
Q9,72,21,Top,270,
Q10,65,21,Top,270,
Q11,58,21,Top,270,
Q12,51,21,Top,270,
Q13,44,21,Top,270,
Q14,37,21,Top,270,
Q15,30,21,Top,270,
R0,20,12,Top,180,
R2,20,20,Top,180,
R3,20,24,Top,180,
R4,163,30,Top,0,
R5,163,32,Top,180,
R6,163,28,Top,180,
R7,153,30,Top,0,
R8,153,32,Top,180,
R9,153,28,Top,180,
R10,143,30,Top,0,
R11,143,32,Top,180,
R12,143,28,Top,180,
R13,133,30,Top,0,
R14,133,32,Top,180,
R15,133,28,Top,180,
R16,123,30,Top,0,
R17,123,32,Top,180,
R18,123,28,Top,180,
R19,113,30,Top,0,
R20,113,32,Top,180,
R21,113,28,Top,180,
R22,103,30,Top,0,
R23,103,32,Top,180,
R24,103,28,Top,180,
R25,93,30,Top,0,
R26,93,32,Top,180,
R27,93,28,Top,180,
R28,79,30,Top,0,
R29,79,33,Top,180,
R30,79,27,Top,0,
R31,72,30,Top,0,
R32,72,33,Top,180,
R33,72,27,Top,0,
R34,65,30,Top,0,
R35,65,33,Top,180,
R36,65,27,Top,0,
R37,58,30,Top,0,
R38,58,33,Top,180,
R39,58,27,Top,0,
R40,51,30,Top,0,
R41,51,33,Top,180,
R42,51,27,Top,0,
R43,44,30,Top,0,
R44,44,33,Top,180,
R45,44,27,Top,0,
R46,37,30,Top,0,
R47,37,33,Top,180,
R48,37,27,Top,0,
R49,30,30,Top,0,
R50,30,33,Top,180,
R51,30,27,Top,0,
R52,92,20,Top,0,
R53,105,20,Top,0,
R54,121,20,Top,0,
R55,134,20,Top,0,
R56,147,20,Top,0,
R58,78,88,Top,0,
R59,25,24,Top,0,
R60,156,76.5,Top,0,
R61,152.75,77.5,Top,0,
R62,152.75,71.5,Top,0,
R63,156,72.5,Top,0,
R64,152.75,73.5,Top,0,
R65,152.75,75.5,Top,0,
R66,156,74.5,Top,0,
R67,117,75.5,Top,180,
R68,120.25,74.5,Top,180,
R69,117,73.5,Top,180,
R70,120.25,72.5,Top,180,
R71,117,71.5,Top,180,
R72,120.25,76.5,Top,180,
R73,117,77.5,Top,180,
R74,132,115,Top,180,
R75,132,113,Top,180,
R76,132,111,Top,180,
R77,132,109,Top,180,
R78,106,109,Top,0,
R79,106,111,Top,0,
R80,106,113,Top,0,
R81,106,115,Top,0,
R82,156,109,Top,0,
R83,156,111,Top,0,
R84,156,113,Top,0,
R85,156,115,Top,0,
R86,152,115,Top,180,
R87,152,113,Top,180,
R88,152,111,Top,180,
R89,152,109,Top,180,
TD0,25,18,Top,270,
U4,95,95,Top,90,
U8,119,95,Top,270,
U9,119,41,Top,270,
U10,154,95,Top,270,
U11,154,41,Top,270,
LED0,162.433,25.019,Top,0,
LED1,152.4,25.019,Top,0,
LED2,142.367,25.019,Top,0,
LED3,132.461,25.019,Top,0,
LED4,122.428,25.019,Top,0,
LED5,112.395,25.019,Top,0,
LED6,102.362,25.019,Top,0,
LED7,92.329,25.019,Top,0,
